Score,Lineup,score2
4.0,"['7', '1', '4', '2', '3', '22', '11', '20', '14']",3.4972540289033627
0.0,"['7', '1', '3', '2', '9', '11', '14', '18', '20']",3.7326623739707094
3.0,"['14', '11', '3', '2', '9', '22', '13', '12', '20']",3.2095764030216434
0.0,"['7', '4', '2', '3', '1', '9', '11', '18', '19']",4.108276361641964
7.0,"['7', '4', '3', '2', '9', '13', '11', '12', '14']",4.5311594504109305
7.0,"['7', '4', '2', '3', '1', '9', '11', '14', '20']",4.23966868096278
4.0,"['7', '4', '2', '1', '3', '11', '20', '18', '19']",3.7553823461508067
8.0,"['7', '4', '2', '3', '9', '12', '13', '14', '20']",4.431144098031159
4.0,"['7', '4', '3', '2', '9', '1', '12', '20', '14']",4.65836529037426
7.0,"['7', '19', '2', '4', '1', '3', '18', '14', '20']",3.79530952400828
13.0,"['7', '4', '3', '2', '9', '1', '12', '18', '14']",4.6067154555340855
3.0,"['7', '4', '3', '2', '9', '12', '13', '14', '20']",4.440521651607942
10.0,"['7', '4', '3', '2', '9', '12', '13', '14', '20']",4.440521651607942
2.0,"['7', '4', '3', '2', '9', '12', '1', '14', '20']",4.6349157335380635
0.0,"['7', '4', '3', '2', '9', '12', '1', '14', '18']",4.585666301595772
1.0,"['7', '4', '3', '2', '1', '12', '18', '20', '19']",4.087746750008598
3.0,"['7', '4', '3', '2', '9', '12', '13', '14', '20']",4.440521651607942
3.0,"['7', '4', '3', '2', '9', '1', '12', '11', '14']",4.750355756778501
3.0,"['7', '4', '3', '2', '9', '12', '13', '11', '14']",4.574922927313642
1.0,"['7', '4', '3', '2', '1', '11', '18', '20', '19']",3.768999826080624
6.0,"['7', '4', '3', '2', '9', '12', '13', '11', '14']",4.574922927313642
2.0,"['7', '4', '3', '2', '9', '12', '1', '5', '17']",4.652699476235461
7.0,"['7', '4', '3', '2', '9', '12', '11', '13', '17']",4.449188479561311
6.0,"['7', '4', '3', '2', '9', '12', '17', '5', '1']",4.6284504502213295
11.0,"['7', '4', '3', '2', '11', '1', '5', '17', '19']",4.002905720307476
2.0,"['7', '4', '3', '2', '5', '11', '13', '17', '14']",3.9261464066429923
2.0,"['7', '1', '2', '4', '11', '3', '17', '5', '19']",3.9574205345990827
4.0,"['7', '3', '2', '4', '9', '12', '17', '5', '13']",4.448313640145408
2.0,"['7', '4', '3', '2', '12', '17', '11', '5', '1']",4.284169518007454
3.0,"['7', '4', '3', '2', '12', '17', '5', '11', '13']",4.118126645204936
7.0,"['7', '4', '3', '2', '12', '17', '11', '5', '1']",4.284169518007454
7.0,"['7', '4', '2', '12', '3', '14', '11', '5', '13']",4.2009047580986625
11.0,"['7', '4', '2', '12', '3', '1', '9', '11', '14']",4.760222583144955
3.0,"['7', '4', '12', '2', '3', '17', '14', '11', '13']",4.249791802872602
2.0,"['7', '1', '2', '4', '17', '3', '11', '12', '19']",4.263465638971042
8.0,"['7', '17', '2', '4', '1', '3', '11', '12', '19']",4.289839014844431
2.0,"['7', '4', '12', '2', '3', '17', '13', '11', '15']",4.126560066454514
3.0,"['7', '17', '2', '4', '1', '3', '11', '12', '19']",4.289839014844431
8.0,"['7', '17', '2', '4', '3', '14', '11', '5', '13']",3.833298489006438
