Score,Lineup,score2
11.0,"['3', '14', '15', '7', '6', '8', '13', '18', '12']",4.295225469599185
6.0,"['3', '14', '15', '7', '6', '8', '10', '4', '12']",4.148563118859216
6.0,"['3', '9', '14', '8', '15', '6', '7', '13', '1']",4.725586158130486
11.0,"['3', '15', '14', '7', '6', '8', '18', '12', '4']",3.940438906709894
0.0,"['3', '15', '14', '7', '6', '8', '18', '4', '1']",3.8539119189253457
3.0,"['3', '14', '15', '6', '2', '13', '7', '10', '12']",4.276176076057405
4.0,"['3', '14', '15', '7', '6', '8', '13', '18', '12']",4.295225469599185
5.0,"['13', '14', '15', '6', '19', '2', '7', '10', '1']",3.8283036108788964
0.0,"['3', '14', '15', '7', '6', '8', '18', '4', '1']",3.8567033923179856
1.0,"['3', '14', '15', '7', '6', '8', '18', '4', '12']",3.947284532751013
2.0,"['3', '14', '15', '7', '8', '6', '13', '18', '1']",4.190705289904997
2.0,"['3', '14', '15', '8', '6', '13', '18', '19', '12']",4.009796225919578
9.0,"['3', '14', '15', '7', '6', '8', '18', '12', '4']",3.943044197328586
11.0,"['3', '14', '15', '2', '8', '13', '7', '10', '12']",4.434501576632888
16.0,"['3', '9', '14', '7', '15', '8', '13', '4', '1']",4.417055990475639
1.0,"['3', '9', '14', '7', '15', '8', '13', '4', '12']",4.515901325149565
4.0,"['9', '14', '15', '6', '13', '7', '10', '1', '18']",4.223713843206568
3.0,"['9', '7', '15', '14', '6', '8', '13', '10', '12']",4.628484915221755
1.0,"['3', '9', '14', '7', '15', '6', '8', '13', '1']",4.7170929323843716
5.0,"['3', '9', '14', '7', '15', '6', '8', '10', '1']",4.708479113226375
6.0,"['9', '14', '15', '7', '6', '8', '10', '12', '18']",4.431149846933743
2.0,"['9', '14', '15', '6', '10', '2', '7', '1', '13']",4.317082239458593
4.0,"['10', '14', '15', '7', '6', '8', '13', '12', '18']",4.1627809552953465
0.0,"['10', '9', '15', '14', '6', '13', '7', '1', '18']",4.284481726848599
4.0,"['9', '14', '15', '7', '6', '10', '8', '13', '12']",4.643969109927784
7.0,"['9', '14', '15', '7', '6', '8', '10', '13', '12']",4.64797810993073
0.0,"['18', '6', '8', '2', '13', '4', '12', '1', '10']",3.032078772807287
,[],6.82062855021376e-310
,"['18', '10', '7', '15', '1', '1', '18', '17', '20']",3.0760435733063227
